Chambres,Salon,SalleDeBainInterieure,Parking,Meuble,Jardin,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF
5.0,Oui,Oui,Non,Non,Oui,215.0,243.0,Autres,11.0,1341097
6.0,Oui,Oui,Non,Non,Non,267.0,209.0,Gihosha,32.0,2036681
1.0,Oui,Oui,Non,Non,Non,71.0,52.0,Rohero,13.0,1063895
5.0,Oui,Oui,Non,Non,Non,216.0,249.0,Bwiza,7.0,784084
6.0,Oui,Oui,Oui,Non,Non,258.0,299.0,Musaga,7.0,1238428
4.0,,Oui,Non,Non,Oui,169.0,132.0,Kamenge,26.0,772010
4.0,Oui,Non,Oui,Non,Oui,217.0,286.0,,,774690
4.0,Oui,Oui,Oui,Non,Non,203.0,21.0,Gihosha,0.0,1698993
4.0,Oui,Oui,Non,Oui,Oui,176.0,75.0,Rohero,,2233069
4.0,Oui,Oui,Oui,Non,Oui,197.0,273.0,Nyakabiga,10.0,1420910
6.0,Oui,Oui,Non,Non,Non,256.0,286.0,Gihosha,38.0,1887787
6.0,Oui,Oui,Oui,Non,Non,295.0,11.0,Buyenzi,30.0,896416
3.0,Oui,Oui,Non,Oui,Non,127.0,107.0,Kinama,16.0,754605
2.0,Oui,Oui,Non,Oui,Non,109.0,197.0,Kiriri,32.0,1821920
4.0,Oui,Oui,Non,Non,Oui,201.0,245.0,Kamenge,31.0,735393
1.0,Oui,Oui,Non,Non,Non,33.0,66.0,Kamenge,28.0,250370
6.0,Oui,,Non,Non,Oui,299.0,21.0,Bwiza,20.0,1232722
1.0,Oui,Oui,Oui,,Non,51.0,175.0,Kiriri,20.0,948477
,Non,Oui,Oui,Oui,Non,82.0,29.0,Kamenge,39.0,457947
1.0,Oui,Oui,Oui,Non,Non,30.0,255.0,Kiriri,22.0,812126
3.0,Oui,Oui,Non,Non,Non,119.0,257.0,Rohero,5.0,1690726
6.0,Oui,Oui,Oui,Non,Non,278.0,211.0,Buyenzi,21.0,693275
1.0,Oui,Oui,Non,Non,Oui,61.0,33.0,Gihosha,37.0,703178
4.0,Oui,Non,Oui,Oui,Non,197.0,121.0,Kinama,36.0,902442
5.0,Oui,Oui,Oui,Oui,Non,223.0,286.0,Buyenzi,7.0,1125333
1.0,Non,Oui,Non,Non,Non,32.0,148.0,Musaga,40.0,156174
3.0,Oui,Oui,Oui,Oui,,162.0,29.0,Nyakabiga,34.0,1136929
,Oui,Oui,Oui,Oui,Non,294.0,160.0,Kiriri,10.0,2600000
3.0,Non,Non,Oui,Non,Oui,115.0,77.0,Cibitoke,23.0,893796
1.0,,Oui,Non,Non,Non,46.0,,Buyenzi,20.0,199931
6.0,Oui,Oui,,Non,Non,301.0,97.0,Bwiza,1.0,856704
5.0,Oui,Oui,Oui,Non,Non,221.0,90.0,Musaga,39.0,1098204
1.0,Oui,Oui,Oui,Non,Non,31.0,122.0,Kinama,18.0,315568
3.0,Oui,Non,Oui,Non,Non,139.0,237.0,Bwiza,38.0,559592
2.0,Oui,Non,Non,Non,Non,114.0,,Bwiza,27.0,360162
4.0,Oui,Non,Non,Oui,Non,163.0,210.0,Gasekebuye,16.0,2253807
3.0,Non,Non,Oui,Non,Oui,150.0,151.0,Cibitoke,5.0,885755
6.0,Oui,Oui,Oui,,Non,255.0,275.0,Kiriri,18.0,2600000
1.0,Oui,,Oui,Non,Non,84.0,143.0,Cibitoke,37.0,405006
4.0,Oui,Oui,Non,Non,Oui,190.0,185.0,Buyenzi,27.0,580183
1.0,Oui,Non,Non,Non,Non,43.0,34.0,Bwiza,1.0,306610
6.0,Oui,Oui,Oui,Non,Non,293.0,61.0,Kamenge,37.0,987010
1.0,Non,Non,Oui,Non,Oui,78.0,236.0,Kinanira,36.0,541250
2.0,Non,,Oui,Non,Non,108.0,150.0,Kinama,3.0,482399
4.0,Oui,Oui,Non,Oui,Non,186.0,52.0,Kamenge,21.0,1016783
4.0,Oui,Oui,Oui,Non,Non,169.0,198.0,Kinama,25.0,655523
6.0,Oui,,Non,Non,Oui,275.0,228.0,Kiriri,35.0,2600000
2.0,Oui,Oui,Non,Non,Oui,88.0,140.0,Kinanira,12.0,924635
3.0,Oui,Oui,Oui,Non,Oui,153.0,26.0,Autres,31.0,1015575
1.0,Oui,Oui,Oui,,Non,30.0,10.0,Nyakabiga,16.0,501563
5.0,,Oui,Oui,Non,Oui,249.0,208.0,Kinanira,40.0,1788919
1.0,Oui,Non,Non,Non,Non,37.0,243.0,Kiriri,35.0,406192
1.0,Oui,Oui,Non,Non,Oui,74.0,189.0,Ngagara,18.0,684234
3.0,Oui,Non,Non,Non,Oui,142.0,296.0,Gasekebuye,34.0,1599599
1.0,Non,Oui,Oui,Non,Non,82.0,224.0,Buyenzi,39.0,252890
2.0,Oui,Oui,Oui,Non,Non,89.0,120.0,Kiriri,27.0,1120678
2.0,Oui,Non,Non,Oui,Oui,97.0,53.0,Buyenzi,0.0,598488
4.0,Oui,Oui,Non,Non,Non,167.0,177.0,Musaga,17.0,801099
6.0,Oui,Oui,Oui,Oui,Oui,290.0,86.0,Kamenge,39.0,1612959
5.0,Oui,Oui,Non,Non,Non,243.0,49.0,Gasekebuye,32.0,2248408
1.0,Oui,Non,Non,Oui,Non,30.0,24.0,Musaga,11.0,620225
1.0,Oui,Oui,Oui,Non,Non,30.0,,Ngagara,7.0,516258
3.0,Oui,Non,Non,Non,Oui,127.0,127.0,,23.0,1313715
,Oui,Oui,Non,Oui,Oui,277.0,238.0,Buyenzi,15.0,988040
2.0,,Oui,,Non,Non,126.0,225.0,Rohero,3.0,1441714
5.0,Oui,Oui,Oui,Non,Non,264.0,7.0,Kinanira,37.0,2137503
4.0,Oui,Oui,Oui,Non,Oui,208.0,186.0,Gasekebuye,26.0,2109415
2.0,Oui,,Non,Oui,Non,94.0,210.0,Kinanira,8.0,1183943
6.0,Oui,Oui,Oui,Non,Oui,305.0,44.0,Ngagara,15.0,1877765
4.0,Oui,Oui,Oui,Non,Oui,192.0,63.0,Nyakabiga,11.0,1253462
3.0,Oui,Oui,Oui,Oui,Non,152.0,66.0,Kinama,30.0,864449
3.0,Oui,Non,Oui,Oui,Non,167.0,136.0,Bwiza,23.0,648210
1.0,Non,Non,Non,Non,Non,30.0,64.0,Bwiza,13.0,142096
6.0,Oui,Oui,Non,Non,Non,307.0,126.0,Ngagara,24.0,1985966
5.0,Oui,Oui,Oui,Non,Oui,248.0,,,33.0,887255
4.0,Oui,Oui,Oui,Non,Non,204.0,,,2.0,706249
2.0,Non,Oui,Oui,Non,Oui,101.0,,Ngagara,23.0,702553
,Oui,Oui,Non,Non,Non,294.0,66.0,Kinama,8.0,1013672
6.0,Oui,Oui,Non,Oui,Oui,296.0,260.0,Kiriri,25.0,2600000
3.0,Oui,Non,Oui,Non,Non,135.0,53.0,Musaga,19.0,606926
1.0,Oui,Oui,,,Non,40.0,163.0,Ngagara,39.0,364323
1.0,Oui,Oui,Non,Non,Oui,78.0,128.0,Kiriri,9.0,1574863
4.0,Oui,Non,Non,Non,Non,180.0,211.0,Buyenzi,18.0,493603
3.0,Oui,Oui,Non,Non,Oui,125.0,52.0,Ngagara,2.0,1208660
6.0,Oui,Oui,Oui,Oui,,309.0,140.0,Buyenzi,23.0,1283770
5.0,Oui,Oui,Non,Non,Oui,241.0,205.0,Ngagara,4.0,1675700
3.0,Oui,Oui,Oui,Oui,Oui,150.0,254.0,Kinama,2.0,951743
4.0,,Oui,,Non,Oui,194.0,299.0,Nyakabiga,26.0,1118967
4.0,Oui,Oui,Non,Oui,Oui,178.0,213.0,Gihosha,15.0,2257352
3.0,Oui,Non,Non,,Non,134.0,215.0,Kiriri,14.0,2190088
4.0,Oui,Oui,Non,Non,Oui,216.0,196.0,Kinama,34.0,728007
3.0,Oui,Oui,Oui,Non,Non,132.0,48.0,Kamenge,11.0,742264
2.0,Oui,Oui,Oui,Non,Non,116.0,33.0,Cibitoke,40.0,654254
3.0,Oui,Non,Non,Non,Non,155.0,63.0,Kiriri,25.0,1681668
3.0,Oui,Oui,Non,Oui,Non,163.0,75.0,Nyakabiga,33.0,1197372
4.0,Oui,Non,Oui,Oui,Non,173.0,96.0,Musaga,,1252536
4.0,Oui,Non,Oui,Non,Non,174.0,269.0,Kinanira,30.0,1140428
1.0,Non,Oui,Oui,,Non,55.0,224.0,Bwiza,19.0,294403
1.0,Non,Oui,Non,Non,Non,,219.0,Kinama,,192180
2.0,Oui,Non,Non,,Non,122.0,281.0,Ngagara,22.0,629805
1.0,Oui,Oui,Oui,Non,Non,78.0,68.0,Autres,,559685
3.0,Oui,,Oui,,Non,168.0,296.0,Kinama,22.0,451020
4.0,Oui,Oui,Non,Non,Non,,249.0,Gasekebuye,0.0,1796479
1.0,Oui,Oui,Non,Non,Non,40.0,66.0,Kiriri,24.0,859665
,Oui,Non,Oui,Non,Non,47.0,174.0,Rohero,1.0,1028667
2.0,Oui,Oui,Oui,Non,Non,126.0,273.0,Kiriri,29.0,1448038
6.0,Oui,Oui,Oui,Non,Oui,260.0,271.0,,2.0,1782047
2.0,Oui,Oui,Oui,Non,Non,81.0,58.0,Gasekebuye,20.0,1363749
3.0,Oui,Oui,Oui,Non,Oui,124.0,,Gihosha,24.0,1521360
4.0,Oui,Oui,Non,Non,Oui,191.0,12.0,Musaga,19.0,1055370
2.0,Oui,,Non,,,85.0,108.0,Rohero,21.0,1224926
1.0,Oui,Non,Non,Non,Non,32.0,,Buyenzi,20.0,151335
4.0,Oui,Oui,Non,Non,Oui,197.0,44.0,,32.0,1146731
4.0,Oui,Oui,Oui,Non,Oui,171.0,241.0,Autres,37.0,1197233
1.0,,Oui,Oui,Non,Non,48.0,98.0,Rohero,14.0,1077747
2.0,Oui,Non,Oui,Non,Non,97.0,,Kinama,14.0,340768
1.0,Oui,Oui,Oui,Non,Non,77.0,208.0,Musaga,24.0,408430
6.0,Oui,Oui,Non,Non,Non,257.0,142.0,,20.0,1048698
4.0,Oui,Oui,Non,Non,Non,217.0,211.0,Kinama,23.0,773800
5.0,,Oui,Oui,Non,Oui,232.0,85.0,Buyenzi,4.0,919685
5.0,Oui,Oui,Oui,,Non,240.0,222.0,Kiriri,5.0,2600000
3.0,Oui,Oui,Non,Non,Non,140.0,6.0,Kinanira,22.0,1019019
1.0,Oui,Oui,Oui,Oui,Non,32.0,182.0,Musaga,3.0,617267
1.0,Oui,Oui,Oui,Non,,82.0,283.0,Kinanira,26.0,819806
3.0,Oui,Non,Non,Non,Non,174.0,150.0,Nyakabiga,,849594
,Oui,Oui,Non,Oui,Non,164.0,228.0,Gasekebuye,20.0,2046104
3.0,Non,Oui,Oui,Oui,Oui,142.0,66.0,Nyakabiga,,1531501
4.0,Oui,Oui,Oui,Non,Non,187.0,298.0,Kinanira,34.0,1307156
6.0,,Oui,Non,Non,Oui,286.0,243.0,Autres,21.0,1209913
1.0,Oui,Oui,Oui,Non,Oui,65.0,199.0,Gasekebuye,39.0,900405
4.0,Oui,Oui,Oui,Oui,Non,195.0,170.0,Nyakabiga,22.0,1474447
3.0,Oui,Oui,Non,Non,Oui,141.0,226.0,,2.0,739378
1.0,Oui,Non,Oui,Non,Non,78.0,65.0,Ngagara,39.0,503262
4.0,,Oui,Non,Non,,,133.0,Kamenge,9.0,725340
6.0,Oui,Oui,Oui,Non,Oui,,177.0,Gasekebuye,24.0,2600000
4.0,,Non,Non,Non,Non,192.0,160.0,Nyakabiga,7.0,947421
6.0,Oui,Oui,Oui,Non,Oui,302.0,114.0,,10.0,1745877
3.0,Oui,,Oui,Non,Oui,134.0,273.0,Kinama,4.0,708048
,Oui,Oui,Oui,Non,Oui,262.0,282.0,Kinanira,36.0,1987297
1.0,Oui,Oui,Oui,Non,Non,52.0,78.0,,37.0,456328
3.0,Oui,Oui,Non,Oui,Oui,162.0,211.0,Gihosha,28.0,1928433
1.0,Oui,Oui,,,Non,53.0,283.0,Gasekebuye,4.0,688494
5.0,Oui,Oui,Oui,Oui,Non,217.0,208.0,Bwiza,8.0,934177
2.0,Oui,Oui,,Non,Oui,115.0,165.0,Bwiza,,682714
6.0,Oui,Oui,Non,Non,Non,284.0,32.0,Rohero,,2600000
2.0,Oui,Oui,Non,Non,Non,75.0,261.0,Nyakabiga,39.0,436094
2.0,Non,Oui,Oui,Oui,Non,87.0,169.0,Rohero,29.0,1660346
6.0,Oui,Oui,Oui,Oui,Non,300.0,67.0,Musaga,10.0,1663707
3.0,Oui,Non,Oui,Non,Oui,119.0,26.0,Cibitoke,27.0,951831
5.0,Oui,Oui,Non,,Oui,251.0,74.0,Autres,11.0,1553092
1.0,Oui,Oui,Oui,Oui,Non,49.0,,Gihosha,38.0,1134781
4.0,Oui,Oui,Non,Non,Non,161.0,167.0,Autres,25.0,879679
1.0,Oui,Oui,Oui,Non,Non,34.0,83.0,Kinanira,12.0,782756
4.0,Oui,Non,Non,Non,Oui,215.0,9.0,Kiriri,7.0,2600000
1.0,Oui,Non,Oui,Non,Non,54.0,124.0,Kamenge,27.0,332640
6.0,Oui,Oui,Oui,Oui,Non,299.0,182.0,Gasekebuye,29.0,2600000
5.0,Oui,Oui,Oui,Non,Non,263.0,180.0,Gihosha,8.0,2216024
4.0,Oui,Oui,Non,Non,Non,204.0,221.0,,38.0,832796
3.0,Oui,Non,Oui,Non,Oui,119.0,60.0,Gasekebuye,30.0,1738158
1.0,Oui,Oui,Oui,Non,Non,79.0,191.0,Gihosha,20.0,911902
1.0,Oui,Oui,Oui,Non,Non,,236.0,Autres,33.0,481866
4.0,Oui,Oui,Oui,Non,Oui,192.0,259.0,Kiriri,30.0,2534681
3.0,Oui,Oui,Non,Non,Non,168.0,,Kamenge,24.0,638560
3.0,Oui,,Non,Non,Non,115.0,81.0,Ngagara,11.0,1037226
6.0,Oui,Oui,Non,Non,Oui,267.0,234.0,Kinanira,0.0,2089891
6.0,Oui,Oui,Oui,Non,Non,281.0,262.0,Kiriri,21.0,2600000
6.0,Oui,Oui,Non,Non,Non,296.0,268.0,Kinama,39.0,916087
