Chambres,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF,Confort_Score,Chambres_par_Superficie
4.0,194.0,299.0,Nyakabiga,26.0,1118967,4.0,0.020618556701030927
4.0,178.0,213.0,Gihosha,15.0,2257352,4.0,0.02247191011235955
3.0,134.0,215.0,Kiriri,14.0,2190088,1.0,0.022388059701492536
4.0,216.0,196.0,Kinama,34.0,728007,3.0,0.018518518518518517
3.0,132.0,48.0,Kamenge,11.0,742264,3.0,0.022727272727272728
2.0,116.0,33.0,Cibitoke,40.0,654254,3.0,0.017241379310344827
3.0,155.0,63.0,Kiriri,25.0,1681668,1.0,0.01935483870967742
3.0,163.0,75.0,Nyakabiga,33.0,1197372,3.0,0.018404907975460124
4.0,173.0,96.0,Musaga,,1252536,3.0,0.023121387283236993
4.0,174.0,269.0,Kinanira,30.0,1140428,2.0,0.022988505747126436
1.0,55.0,224.0,Bwiza,19.0,294403,2.0,0.01818181818181818
1.0,,219.0,Kinama,,192180,1.0,
2.0,122.0,281.0,Ngagara,22.0,629805,1.0,0.01639344262295082
1.0,78.0,68.0,Autres,,559685,3.0,0.01282051282051282
3.0,168.0,296.0,Kinama,22.0,451020,3.0,0.017857142857142856
4.0,,249.0,Gasekebuye,0.0,1796479,2.0,
1.0,40.0,66.0,Kiriri,24.0,859665,2.0,0.025
,47.0,174.0,Rohero,1.0,1028667,2.0,
2.0,126.0,273.0,Kiriri,29.0,1448038,3.0,0.015873015873015872
6.0,260.0,271.0,,2.0,1782047,4.0,0.023076923076923078
2.0,81.0,58.0,Gasekebuye,20.0,1363749,3.0,0.024691358024691357
3.0,124.0,,Gihosha,24.0,1521360,4.0,0.024193548387096774
4.0,191.0,12.0,Musaga,19.0,1055370,3.0,0.020942408376963352
2.0,85.0,108.0,Rohero,21.0,1224926,2.0,0.023529411764705882
1.0,32.0,,Buyenzi,20.0,151335,1.0,0.03125
4.0,197.0,44.0,,32.0,1146731,3.0,0.02030456852791878
4.0,171.0,241.0,Autres,37.0,1197233,4.0,0.023391812865497075
1.0,48.0,98.0,Rohero,14.0,1077747,3.0,0.020833333333333332
2.0,97.0,,Kinama,14.0,340768,2.0,0.020618556701030927
1.0,77.0,208.0,Musaga,24.0,408430,3.0,0.012987012987012988
6.0,257.0,142.0,,20.0,1048698,2.0,0.023346303501945526
4.0,217.0,211.0,Kinama,23.0,773800,2.0,0.018433179723502304
5.0,232.0,85.0,Buyenzi,4.0,919685,4.0,0.021551724137931036
5.0,240.0,222.0,Kiriri,5.0,2600000,3.0,0.020833333333333332
3.0,140.0,6.0,Kinanira,22.0,1019019,2.0,0.02142857142857143
1.0,32.0,182.0,Musaga,3.0,617267,4.0,0.03125
1.0,82.0,283.0,Kinanira,26.0,819806,3.0,0.012195121951219513
3.0,174.0,150.0,Nyakabiga,,849594,1.0,0.017241379310344827
,164.0,228.0,Gasekebuye,20.0,2046104,3.0,
3.0,142.0,66.0,Nyakabiga,,1531501,4.0,0.02112676056338028
4.0,187.0,298.0,Kinanira,34.0,1307156,3.0,0.0213903743315508
6.0,286.0,243.0,Autres,21.0,1209913,3.0,0.02097902097902098
1.0,65.0,199.0,Gasekebuye,39.0,900405,4.0,0.015384615384615385
4.0,195.0,170.0,Nyakabiga,22.0,1474447,4.0,0.020512820512820513
3.0,141.0,226.0,,2.0,739378,3.0,0.02127659574468085
1.0,78.0,65.0,Ngagara,39.0,503262,2.0,0.01282051282051282
4.0,,133.0,Kamenge,9.0,725340,2.0,
6.0,,177.0,Gasekebuye,24.0,2600000,4.0,
4.0,192.0,160.0,Nyakabiga,7.0,947421,1.0,0.020833333333333332
6.0,302.0,114.0,,10.0,1745877,4.0,0.019867549668874173
3.0,134.0,273.0,Kinama,4.0,708048,4.0,0.022388059701492536
,262.0,282.0,Kinanira,36.0,1987297,4.0,
1.0,52.0,78.0,,37.0,456328,3.0,0.019230769230769232
3.0,162.0,211.0,Gihosha,28.0,1928433,4.0,0.018518518518518517
1.0,53.0,283.0,Gasekebuye,4.0,688494,3.0,0.018867924528301886
5.0,217.0,208.0,Bwiza,8.0,934177,4.0,0.02304147465437788
2.0,115.0,165.0,Bwiza,,682714,4.0,0.017391304347826087
6.0,284.0,32.0,Rohero,,2600000,2.0,0.02112676056338028
2.0,75.0,261.0,Nyakabiga,39.0,436094,2.0,0.02666666666666667
2.0,87.0,169.0,Rohero,29.0,1660346,3.0,0.022988505747126436
6.0,300.0,67.0,Musaga,10.0,1663707,4.0,0.02
3.0,119.0,26.0,Cibitoke,27.0,951831,3.0,0.025210084033613446
5.0,251.0,74.0,Autres,11.0,1553092,3.0,0.0199203187250996
1.0,49.0,,Gihosha,38.0,1134781,4.0,0.02040816326530612
4.0,161.0,167.0,Autres,25.0,879679,2.0,0.024844720496894408
1.0,34.0,83.0,Kinanira,12.0,782756,3.0,0.029411764705882353
4.0,215.0,9.0,Kiriri,7.0,2600000,2.0,0.018604651162790697
1.0,54.0,124.0,Kamenge,27.0,332640,2.0,0.018518518518518517
6.0,299.0,182.0,Gasekebuye,29.0,2600000,4.0,0.020066889632107024
5.0,263.0,180.0,Gihosha,8.0,2216024,3.0,0.019011406844106463
4.0,204.0,221.0,,38.0,832796,2.0,0.0196078431372549
3.0,119.0,60.0,Gasekebuye,30.0,1738158,3.0,0.025210084033613446
1.0,79.0,191.0,Gihosha,20.0,911902,3.0,0.012658227848101266
1.0,,236.0,Autres,33.0,481866,3.0,
4.0,192.0,259.0,Kiriri,30.0,2534681,4.0,0.020833333333333332
3.0,168.0,,Kamenge,24.0,638560,2.0,0.017857142857142856
3.0,115.0,81.0,Ngagara,11.0,1037226,2.0,0.02608695652173913
6.0,267.0,234.0,Kinanira,0.0,2089891,3.0,0.02247191011235955
6.0,281.0,262.0,Kiriri,21.0,2600000,3.0,0.021352313167259787
6.0,296.0,268.0,Kinama,39.0,916087,2.0,0.02027027027027027
6.0,,186.0,Rohero,36.0,2600000,3.0,
6.0,260.0,260.0,Gasekebuye,0.0,2600000,5.0,0.023076923076923078
6.0,,42.0,Bwiza,0.0,1163856,4.0,
5.0,230.0,180.0,Nyakabiga,20.0,1346455,3.0,0.021739130434782608
3.0,,31.0,,,1743777,3.0,
6.0,271.0,280.0,Musaga,16.0,1042623,2.0,0.02214022140221402
3.0,173.0,144.0,Bwiza,21.0,647110,1.0,0.017341040462427744
3.0,141.0,291.0,Autres,37.0,887492,4.0,0.02127659574468085
2.0,118.0,95.0,Bwiza,34.0,497616,3.0,0.01694915254237288
5.0,217.0,65.0,Kamenge,15.0,1160062,4.0,0.02304147465437788
6.0,282.0,167.0,Rohero,7.0,2600000,5.0,0.02127659574468085
1.0,58.0,147.0,Cibitoke,16.0,511294,3.0,0.017241379310344827
4.0,200.0,257.0,Kamenge,16.0,909285,3.0,0.02
1.0,59.0,273.0,Kiriri,25.0,894878,3.0,0.01694915254237288
5.0,205.0,295.0,Cibitoke,12.0,1287255,3.0,0.024390243902439025
4.0,180.0,191.0,Autres,16.0,948691,2.0,0.022222222222222223
5.0,252.0,295.0,Kinanira,,1704211,2.0,0.01984126984126984
3.0,169.0,90.0,Autres,,1054671,2.0,0.01775147928994083
4.0,,170.0,Gihosha,13.0,1299815,2.0,
3.0,,118.0,Musaga,5.0,818429,3.0,
1.0,41.0,187.0,Gasekebuye,34.0,533641,2.0,0.024390243902439025
1.0,,211.0,Bwiza,13.0,181870,2.0,
4.0,190.0,260.0,Nyakabiga,7.0,1377223,4.0,0.021052631578947368
4.0,164.0,239.0,Cibitoke,14.0,1190263,4.0,0.024390243902439025
6.0,287.0,7.0,Rohero,26.0,2600000,3.0,0.020905923344947737
5.0,207.0,212.0,,12.0,1256873,3.0,0.024154589371980676
6.0,302.0,201.0,Gasekebuye,30.0,2600000,3.0,0.019867549668874173
5.0,227.0,129.0,Kinanira,34.0,1780093,3.0,0.022026431718061675
6.0,286.0,,Ngagara,5.0,1744504,3.0,0.02097902097902098
3.0,167.0,29.0,Kinanira,,1943935,4.0,0.017964071856287425
4.0,196.0,72.0,Kinama,21.0,728525,2.0,0.02040816326530612
1.0,34.0,,Gasekebuye,22.0,611730,2.0,0.029411764705882353
5.0,,33.0,Rohero,24.0,2578143,4.0,
,223.0,23.0,Kiriri,33.0,2164627,3.0,
1.0,41.0,175.0,Bwiza,25.0,258517,2.0,0.024390243902439025
6.0,270.0,78.0,Ngagara,4.0,1780867,3.0,0.022222222222222223
5.0,218.0,65.0,Musaga,25.0,1326405,4.0,0.022935779816513763
3.0,123.0,157.0,Gihosha,19.0,1159467,3.0,0.024390243902439025
4.0,205.0,280.0,Kamenge,5.0,1046949,3.0,0.01951219512195122
1.0,,52.0,Nyakabiga,5.0,471026,2.0,
4.0,210.0,215.0,Kiriri,17.0,2600000,2.0,0.01904761904761905
,249.0,143.0,Gihosha,3.0,1657285,2.0,
5.0,217.0,114.0,Bwiza,16.0,1002192,3.0,0.02304147465437788
1.0,30.0,187.0,Gihosha,13.0,567593,2.0,0.03333333333333333
3.0,115.0,32.0,Kinanira,13.0,1220099,3.0,0.02608695652173913
2.0,118.0,201.0,Musaga,12.0,954055,4.0,0.01694915254237288
1.0,64.0,195.0,Bwiza,6.0,342357,3.0,0.015625
2.0,101.0,55.0,Gasekebuye,14.0,1229262,3.0,0.019801980198019802
